Symbol;Full Name;GICS Sector;Sub Industry;Environment Score;Social Score;Governance Score;ESG Total Score;Controversy Level;Percentile;Rating Year;Rating Month;Market Cap;beta;Overall Risk;Rating Date
GM;General Motors;Consumer Discretionary;Automobile Manufacturers;9.83;11.48;7.19;28.5;4.0;63.16;2023;9;53408677888;1.439;9;2023-09-01
GOOGL;Alphabet Inc. (Class A);Communication Services;Interactive Media & Services;1.56;11.16;11.51;24.22;4.0;45.66;2023;9;1966598389760;1.039;10;2023-09-01
GPC;Genuine Parts Company;Consumer Discretionary;Distributors;4.67;5.18;3.8;13.66;2.0;8.02;2023;9;19135287296;0.913;6;2023-09-01
GPN;Global Payments;Financials;Transaction & Payment Processing Services;3.65;10.68;6.54;20.87;1.0;31.22;2023;9;28514754560;0.991;7;2023-09-01
GRMN;Garmin;Consumer Discretionary;Consumer Electronics;4.78;11.63;4.25;20.66;1.0;30.47;2023;9;33179969536;1.009;9;2023-09-01
GS;Goldman Sachs;Financials;Investment Banking & Brokerage;0.88;12.76;11.82;25.45;2.0;50.92;2023;9;153286164480;1.353;6;2023-09-01
GWW;W. W. Grainger;Industrials;Industrial Machinery & Supplies & Components;4.54;5.55;5.91;16.0;2.0;14.01;2023;9;49508282368;1.159;5;2023-09-01
HAL;Halliburton;Energy;Oil & Gas Equipment & Services;9.79;8.9;6.94;25.63;2.0;51.73;2023;9;25866889216;1.906;4;2023-09-01
HAS;Hasbro;Consumer Discretionary;Leisure Products;0.04;2.88;4.16;7.08;2.0;1.27;2023;9;9817040896;0.596;3;2023-09-01
HBAN;Huntington Bancshares;Financials;Regional Banks;1.97;11.19;8.68;21.84;2.0;35.46;2023;9;21263603712;1.068;9;2023-09-01
HCA;HCA Healthcare;Health Care;Health Care Facilities;3.9;17.72;7.22;28.84;3.0;64.44;2023;9;104114790400;1.678;5;2023-09-01
HD;Home Depot (The);Consumer Discretionary;Home Improvement Retail;3.32;5.56;3.76;12.64;2.0;5.97;2023;9;380669591552;1.003;2;2023-09-01
HES;Hess Corporation;Energy;Integrated Oil & Gas;18.93;7.2;6.98;33.11;2.0;78.79;2023;9;40304525312;1.164;9;2023-09-01
HIG;Hartford (The);Financials;Property & Casualty Insurance;1.81;7.24;7.58;16.63;1.0;16.04;2023;9;34303150080;0.924;4;2023-09-01
HLT;Hilton Worldwide;Consumer Discretionary;Hotels, Resorts & Cruise Lines;6.11;7.0;4.45;17.56;2.0;18.92;2023;9;54307586048;1.31;6;2023-09-01
HOLX;Hologic;Health Care;Health Care Equipment;4.57;12.08;8.35;25.0;1.0;48.93;2023;9;19208910848;0.984;7;2023-09-01
HON;Honeywell;Industrials;Industrial Conglomerates;10.99;10.59;7.04;28.62;3.0;63.65;2023;9;132688805888;1.027;6;2023-09-01
HPE;Hewlett Packard Enterprise;Information Technology;Technology Hardware, Storage & Peripherals;0.95;4.14;5.6;10.69;2.0;3.28;2023;9;23635793920;1.203;2;2023-09-01
HPQ;HP Inc.;Information Technology;Technology Hardware, Storage & Peripherals;0.11;5.05;6.09;11.26;2.0;3.95;2023;9;33170137088;1.083;1;2023-09-01
HRL;Hormel Foods;Consumer Staples;Packaged Foods & Meats;13.31;10.68;6.0;30.0;3.0;68.87;2023;9;17838264320;0.248;8;2023-09-01
HSIC;Henry Schein;Health Care;Health Care Distributors;2.0;5.67;6.28;13.95;2.0;8.64;2023;9;9026677760;0.861;5;2023-09-01
HST;Host Hotels & Resorts;Real Estate;Hotel & Resort REITs;3.25;4.58;5.52;13.35;1.0;7.41;2023;9;24961603584;1.341;9;2023-09-01
HSY;Hershey Company (The);Consumer Staples;Packaged Foods & Meats;10.52;10.4;5.14;26.05;3.0;53.34;2023;9;40621432832;0.361;10;2023-09-01
HUBB;Hubbell Incorporated;Industrials;Industrial Machinery & Supplies & Components;5.6;9.09;4.91;19.6;0.0;26.55;2023;9;22078416896;0.898;3;2023-09-01
HUM;Humana;Health Care;Managed Health Care;0.01;16.71;5.74;22.47;2.0;37.9;2023;9;37954166784;0.509;1;2023-09-01
IBM;IBM;Information Technology;IT Consulting & Other Services;1.78;6.22;6.14;14.14;2.0;9.09;2023;9;197245435904;0.693;4;2023-09-01
ICE;Intercontinental Exchange;Financials;Financial Exchanges & Data;1.7;9.25;8.82;19.78;1.0;27.21;2023;9;93476061184;1.091;4;2023-09-01
IDXX;Idexx Laboratories;Health Care;Health Care Equipment;2.62;7.1;8.94;18.66;1.0;22.9;2023;9;42162847744;1.332;6;2023-09-01
IEX;IDEX Corporation;Industrials;Industrial Machinery & Supplies & Components;10.28;13.72;5.34;29.34;0.0;66.38;2023;9;15495729152;0.949;6;2023-09-01
IFF;International Flavors & Fragrances;Materials;Specialty Chemicals;10.49;5.57;6.63;22.69;3.0;38.82;2023;9;26644783104;1.233;4;2023-09-01
INCY;Incyte;Health Care;Biotechnology;1.06;16.3;7.41;24.76;1.0;47.91;2023;9;12794285056;0.735;7;2023-09-01
INTC;Intel;Information Technology;Semiconductors;4.93;7.32;6.62;18.87;3.0;23.69;2023;9;91805720576;1.02;5;2023-09-01
INTU;Intuit;Information Technology;Application Software;0.97;10.7;4.73;16.41;2.0;15.32;2023;9;181138964480;1.243;2;2023-09-01
IP;International Paper;Materials;Paper & Plastic Packaging Products & Materials;15.15;4.5;4.81;24.47;3.0;46.67;2023;9;17309921280;1.01;5;2023-09-01
IPG;Interpublic Group of Companies (The);Communication Services;Advertising;0.04;5.0;5.28;10.32;1.0;2.98;2023;9;11729707008;1.084;10;2023-09-01
IQV;IQVIA;Health Care;Life Sciences Tools & Services;1.3;10.62;7.22;19.14;2.0;24.78;2023;9;43748352000;1.498;8;2023-09-01
IRM;Iron Mountain;Real Estate;Other Specialized REITs;5.0;3.74;5.76;14.5;2.0;10.01;2023;9;34669355008;1.026;5;2023-09-01
ISRG;Intuitive Surgical;Health Care;Health Care Equipment;3.65;9.58;7.84;21.07;1.0;32.14;2023;9;174617722880;1.395;3;2023-09-01
IT;Gartner;Information Technology;IT Consulting & Other Services;0.11;13.17;5.64;18.93;1.0;23.89;2023;9;39306534912;1.323;1;2023-09-01
ITW;Illinois Tool Works;Industrials;Industrial Machinery & Supplies & Components;7.0;11.78;6.52;25.29;2.0;50.21;2023;9;75748122624;1.112;3;2023-09-01
IVZ;Invesco;Financials;Asset Management & Custody Banks;0.73;11.02;11.04;22.79;2.0;39.19;2023;9;7470531584;1.423;3;2023-09-01
J;Jacobs Solutions;Industrials;Construction & Engineering;5.29;11.46;5.62;22.37;3.0;33.64;2022;8;18008506368;0.721;7;2022-08-01
JBHT;J.B. Hunt;Industrials;Cargo Ground Transportation;3.28;6.55;5.0;14.82;1.0;10.74;2023;9;17132796928;1.153;8;2023-09-01
JCI;Johnson Controls;Industrials;Building Products;4.49;4.55;5.39;14.43;3.0;9.85;2023;9;48678182912;1.3;6;2023-09-01
JKHY;Jack Henry & Associates;Financials;Transaction & Payment Processing Services;4.32;8.66;5.68;18.66;0.0;22.88;2023;9;12909138944;0.638;7;2023-09-01
JNJ;Johnson & Johnson;Health Care;Pharmaceuticals;0.92;15.02;8.03;23.98;4.0;44.52;2023;9;402177589248;0.519;4;2023-09-01
JNPR;Juniper Networks;Information Technology;Communications Equipment;1.82;7.2;5.8;14.82;1.0;10.73;2023;9;12847232000;0.921;5;2023-09-01
JPM;JPMorgan Chase;Financials;Diversified Banks;1.11;16.45;11.7;29.26;3.0;66.02;2023;9;595349733376;1.105;5;2023-09-01
K;Kellanova;Consumer Staples;Packaged Foods & Meats;10.64;13.35;4.38;28.37;2.0;62.52;2023;9;27749677056;0.394;8;2023-09-01
KEY;KeyCorp;Financials;Regional Banks;1.59;9.16;10.66;21.42;1.0;33.6;2023;9;15378881536;1.238;4;2023-09-01
KEYS;Keysight;Information Technology;Electronic Equipment & Instruments;1.2;1.75;4.65;7.6;1.0;1.47;2023;9;26116489216;0.974;4;2023-09-01
KHC;Kraft Heinz;Consumer Staples;Packaged Foods & Meats;13.49;14.05;6.17;33.7;3.0;80.3;2023;9;42366164992;0.478;4;2023-09-01
KIM;Kimco Realty;Real Estate;Retail REITs;2.35;2.58;5.97;10.9;0.0;3.52;2023;9;16219149312;1.492;5;2023-09-01
KLAC;KLA Corporation;Information Technology;Semiconductor Materials & Equipment;7.41;5.13;4.64;17.19;0.0;17.74;2023;9;99420717056;1.276;4;2023-09-01
KMB;Kimberly-Clark;Consumer Staples;Household Products;10.43;10.4;7.64;28.48;2.0;63.05;2023;9;48567140352;0.403;4;2023-09-01
KMI;Kinder Morgan;Energy;Oil & Gas Storage & Transportation;8.28;7.19;3.49;18.96;2.0;24.03;2023;9;47851556864;0.921;9;2023-09-01
KMX;CarMax;Consumer Discretionary;Automotive Retail;0.09;8.02;3.99;12.1;2.0;5.17;2023;9;12391112704;1.688;9;2023-09-01
KO;Coca-Cola Company (The);Consumer Staples;Soft Drinks & Non-alcoholic Beverages;7.23;9.54;4.86;21.63;3.0;34.51;2023;9;309448671232;0.609;2;2023-09-01
KR;Kroger;Consumer Staples;Food Retail;6.55;9.12;5.6;21.27;3.0;32.98;2023;9;40625352704;0.46;8;2023-09-01
L;Loews Corporation;Financials;Multi-line Insurance;0.59;4.25;11.53;16.38;2.0;15.19;2023;9;17404710912;0.818;7;2023-09-01
LDOS;Leidos;Industrials;Diversified Support Services;3.37;9.03;5.25;17.65;2.0;19.29;2023;9;20855037952;0.704;3;2023-09-01
LEN;Lennar;Consumer Discretionary;Homebuilding;11.26;8.55;5.55;25.36;2.0;50.5;2023;9;50908487680;1.609;10;2023-09-01
LH;LabCorp;Health Care;Health Care Services;0.43;12.71;6.6;19.74;2.0;27.05;2023;9;19060506624;1.041;4;2023-09-01
LKQ;LKQ Corporation;Consumer Discretionary;Distributors;3.8;4.0;3.27;11.07;2.0;3.74;2023;9;10751375360;1.283;3;2023-09-01
LLY;Lilly (Eli);Health Care;Pharmaceuticals;2.54;12.6;9.14;24.28;2.0;45.9;2023;9;815948038144;0.422;5;2023-09-01
LMT;Lockheed Martin;Industrials;Aerospace & Defense;7.96;15.11;7.11;30.18;3.0;69.64;2023;9;136559820800;0.469;6;2023-09-01
LNT;Alliant Energy;Utilities;Electric Utilities;8.54;6.55;6.28;21.36;0.0;33.39;2023;9;15520779264;0.57;2;2023-09-01
LOW;Lowe's;Consumer Discretionary;Home Improvement Retail;3.31;5.31;3.17;11.78;2.0;4.69;2023;9;145635721216;1.09;4;2023-09-01
